Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
5283.0,2023-06-20T08:44:14Z,39.36006377503188,53.77048278496195,682.0
1472.0,2023-06-20T08:44:14Z,39.43543409534752,53.60672856384453,460.0
2857.0,2023-06-20T08:44:14Z,39.474474836805975,53.74228669390862,594.0
8900.0,2023-06-20T08:44:14Z,39.46091902379956,53.62679116709401,936.0
2117.0,2023-06-20T08:44:14Z,39.34433903194444,53.886520544296815,430.0
978.0,2023-06-20T08:44:14Z,39.453327768515976,53.61486205164837,389.0
2538.0,2023-06-20T08:44:14Z,39.486403952251614,53.70975274269323,471.0
2036.0,2023-06-20T08:44:14Z,39.480981627049054,53.686436744322215,481.0
2105.0,2023-06-20T08:44:14Z,39.332952149019064,54.02262090688116,420.0
2277.0,2023-06-20T08:44:14Z,39.46363018640085,53.70975274269323,428.0
1673.0,2023-06-20T08:44:14Z,39.44573651323239,53.80139003861656,360.0
1412.0,2023-06-20T08:44:14Z,39.459292326238796,53.78512306300887,334.0
1665.0,2023-06-20T08:44:14Z,39.49019957989341,53.76180706463785,398.0
5188.0,2023-06-20T08:44:14Z,38.8503652059909,54.23517605482166,326.0
7502.0,2023-06-20T08:44:14Z,38.643232383252965,54.283434749124474,501.0
8057.0,2023-06-20T08:44:14Z,38.55430624993092,54.19776201092397,723.0
2123.0,2023-06-20T08:44:14Z,38.67956196211014,54.31596870033985,305.0
1009.0,2023-06-22T11:50:37Z,31.498234463834866,5.830621204056065,222.0
2417.0,2023-06-22T19:32:01Z,37.87868452969147,-121.18843113103888,419.0
1842.0,2023-06-22T19:32:01Z,37.95297038496659,-120.95635561236915,468.0
5929.0,2023-06-24T05:29:00Z,48.23369896902732,57.34813295361347,525.0
1871.0,2023-06-24T05:30:36Z,46.04958637743471,65.05379929897674,428.0
6933.0,2023-06-25T03:13:55Z,37.43730725820282,110.84262447202569,813.0
2795.0,2023-06-25T03:13:55Z,37.46550334925615,110.87949628340311,598.0
3833.0,2023-06-25T06:16:49Z,43.55260562165414,52.39429664855133,432.0
1409.0,2023-06-25T06:16:49Z,43.42355428183313,52.408394694078,261.0
2861.0,2023-06-25T06:16:49Z,43.401322748502615,52.48105385179235,346.0
2749.0,2023-06-25T06:18:46Z,39.6946212400301,60.21166289308733,534.0
2210.0,2023-06-25T06:18:46Z,39.683776589624976,60.21437405568861,308.0
2437.0,2023-06-25T07:52:48Z,36.163060835600376,41.088748601206035,381.0
